rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
1661,0.4851,False,landwatch,420613539,MI,Alger,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/alger-county-michigan-undeveloped-land-for-sale/pid/420613539,,,1.0,0.764,0.0,0.5,0.5
1662,0.4851,False,landwatch,423029403,MI,Iron,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/iron-county-michigan-undeveloped-land-for-sale/pid/423029403,,,1.0,0.764,0.0,0.5,0.5
1663,0.4851,False,landwatch,425143556,MI,Chippewa,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/chippewa-county-michigan-undeveloped-land-for-sale/pid/425143556,,,1.0,0.764,0.0,0.5,0.5
1664,0.4851,False,landwatch,425200446,MI,Marquette,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/marquette-county-michigan-undeveloped-land-for-sale/pid/425200446,,,1.0,0.764,0.0,0.5,0.5
1665,0.4851,False,landwatch,423936999,MI,Otsego,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/otsego-county-michigan-undeveloped-land-for-sale/pid/423936999,,,1.0,0.764,0.0,0.5,0.5
1666,0.4851,False,landwatch,424079973,MI,Ontonagon,440.0,24157817.0,54904.13,"Shingleton, MI, 49884, Alger County",https://www.landwatch.com/ontonagon-county-michigan-undeveloped-land-for-sale/pid/424079973,,,1.0,0.764,0.0,0.5,0.5
1667,0.4851,False,landwatch,422859244,MI,Wexford,521.0,15630000.0,30000.0,"Cadillac, MI, 49601, Wexford County",https://www.landwatch.com/wexford-county-michigan-undeveloped-land-for-sale/pid/422859244,,,1.0,0.764,0.0,0.5,0.5
1668,0.4847,True,landwatch,425764134,VA,Caroline,335.0,1675500.0,5001.49,"Milford, VA, 22514, Caroline County",https://www.landwatch.com/caroline-county-virginia-recreational-property-for-sale/pid/425764134,,,1.0,0.54,0.166,0.5,0.5
1669,0.4846,False,landwatch,419491516,MS,Madison,439.0,10536000.0,24000.0,"Canton, MS, 39046, Madison County",https://www.landwatch.com/madison-county-mississippi-undeveloped-land-for-sale/pid/419491516,,,1.0,0.762,0.0,0.5,0.5
1670,0.4843,False,landsearch,5218693,MS,Stone,224.0,2250000.0,10044.64,"Wiggins, MS 39577",https://www.landsearch.com/properties/110-tyner-branch-rd-wiggins-ms-39577/5218693,,,1.0,0.76,0.0,0.5,0.5
1671,0.4843,False,landwatch,425161998,AR,Lawrence,224.0,1702400.0,7600.0,"Alicia, AR, 72410, Lawrence County",https://www.landwatch.com/lawrence-county-arkansas-farms-and-ranches-for-sale/pid/425161998,,,1.0,0.76,0.0,0.5,0.5
1672,0.4843,True,landwatch,425529378,WI,Douglas,214.0,1235000.0,5771.03,"Gordon, WI, 54838, Douglas County",https://www.landwatch.com/douglas-county-wisconsin-commercial-property-for-sale/pid/425529378,,,1.0,0.693,0.05,0.5,0.5
1673,0.4843,False,landwatch,425618035,VA,Accomack,224.0,3100000.0,13839.29,"New Church, VA, 23415, Accomack County",https://www.landwatch.com/accomack-county-virginia-farms-and-ranches-for-sale/pid/425618035,,,1.0,0.76,0.0,0.5,0.5
1674,0.4843,False,landwatch,425088548,VA,Russell,224.0,2500000.0,11160.71,"Castlewood, VA, 24224, Russell County",https://www.landwatch.com/russell-county-virginia-lakefront-property-for-sale/pid/425088548,,,1.0,0.76,0.0,0.5,0.5
1675,0.4843,False,landwatch,425821695,NY,Columbia,224.0,1475000.0,6584.82,"Schodack Landing, NY, 12156, Columbia County",https://www.landwatch.com/columbia-county-new-york-recreational-property-for-sale/pid/425821695,,,1.0,0.76,0.0,0.5,0.5
1676,0.4842,False,landwatch,425566845,IA,Linn,523.0,4750000.0,9082.22,"Center Point, IA, 52213, Linn County",https://www.landwatch.com/linn-county-iowa-farms-and-ranches-for-sale/pid/425566845,,,1.0,0.759,0.0,0.5,0.5
1677,0.4842,False,landwatch,426578271,NE,Buffalo,523.0,3300000.0,6309.75,"Pleasanton, NE, 68866, Buffalo County",https://www.landwatch.com/buffalo-county-nebraska-commercial-property-for-sale/pid/426578271,,,1.0,0.759,0.0,0.5,0.5
1678,0.4838,True,landwatch,425196364,MO,Schuyler,406.0,2354800.0,5800.0,"Queen City, MO, 63561, Schuyler County",https://www.landwatch.com/schuyler-county-missouri-farms-and-ranches-for-sale/pid/425196364,,,1.0,0.691,0.05,0.5,0.5
1679,0.4833,True,landwatch,426046164,MS,Quitman,344.0,1760000.0,5116.28,"Marks, MS, 38646, Quitman County",https://www.landwatch.com/quitman-county-mississippi-farms-and-ranches-for-sale/pid/426046164,,,1.0,0.559,0.147,0.5,0.5
1680,0.4832,False,landsearch,5137610,MS,DeSoto,525.0,10500000.0,20000.0,"Hernando, MS 38632",https://www.landsearch.com/properties/4500-jaybird-rd-hernando-ms-38632/5137610,,,1.0,0.755,0.0,0.5,0.5
1681,0.4832,False,landsearch,5201748,OH,Madison,436.0,7849152.0,18002.64,"London, OH 43140",https://www.landsearch.com/properties/old-xenia-rd-se-london-oh-43140/5201748,,,1.0,0.755,0.0,0.5,0.5
1682,0.4832,False,landandfarm,40976828,TX,Gillespie,436.0,61750000.0,141628.44,"Fredericksburg, TX, 78624",https://www.landandfarm.com/property/coal-creek-ranch-40976828/,,,1.0,0.755,0.0,0.5,0.5
1683,0.4831,False,landsearch,5027175,NC,Pamlico,38.0,99000.0,2605.26,"Bayboro, NC 28515",https://www.landsearch.com/properties/bayboro-nc-28515/5027175,,,1.0,0.0,0.566,0.5,0.5
1684,0.4829,False,landsearch,3648757,TX,Van Zandt,297.0,4995000.0,16818.18,"Wills Point, TX 75169",https://www.landsearch.com/properties/wills-point-tx-wills-point-tx-75169/3648757,,,1.0,0.753,0.0,0.5,0.5
1685,0.4829,False,landwatch,425197996,OH,Licking,223.0,3700000.0,16591.93,"Newark, OH, 43055, Licking County",https://www.landwatch.com/licking-county-ohio-homes-for-sale/pid/425197996,,,1.0,0.753,0.0,0.5,0.5
1686,0.4829,False,landwatch,426232099,KY,Carroll,223.0,1600000.0,7174.89,"Carrollton, KY, 41008, Carroll County",https://www.landwatch.com/carroll-county-kentucky-farms-and-ranches-for-sale/pid/426232099,,,1.0,0.753,0.0,0.5,0.5
1687,0.4829,False,landwatch,418072149,NC,Randolph,297.0,2750000.0,9259.26,"Bennett, NC, 27208, Randolph County",https://www.landwatch.com/randolph-county-north-carolina-farms-and-ranches-for-sale/pid/418072149,,,1.0,0.753,0.0,0.5,0.5
1688,0.4829,False,landwatch,425999863,MI,Genesee,223.0,1950000.0,8744.39,"Swartz Creek, MI, 48473, Genesee County",https://www.landwatch.com/genesee-county-michigan-undeveloped-land-for-sale/pid/425999863,,,1.0,0.753,0.0,0.5,0.5
1689,0.4827,False,landsearch,5199622,ND,Bottineau,153.0,399900.0,2613.73,"Bottineau, ND 58318",https://www.landsearch.com/properties/county-road-47-bottineau-nd-58318/5199622,,,1.0,0.0,0.564,0.5,0.5
1690,0.4826,True,landwatch,425884042,MS,Attala,324.0,1600000.0,4938.27,"West, MS, 39192, Attala County",https://www.landwatch.com/attala-county-mississippi-recreational-property-for-sale/pid/425884042,,,1.0,0.516,0.177,0.5,0.5
1691,0.4823,False,landwatch,423438491,TX,Burnet,434.0,10500000.0,24193.55,"Spicewood, TX, 78669, Burnet County",https://www.landwatch.com/burnet-county-texas-farms-and-ranches-for-sale/pid/423438491,,,1.0,0.751,0.0,0.5,0.5
1692,0.4823,False,landwatch,425055369,IL,Champaign,434.0,7689057.0,17716.72,"Tolono, IL, 61880, Champaign County",https://www.landwatch.com/champaign-county-illinois-farms-and-ranches-for-sale/pid/425055369,,,1.0,0.751,0.0,0.5,0.5
1693,0.4823,False,landandfarm,36166051,OK,Creek,434.0,2895000.0,6670.51,"Drumright, OK, 74030",https://www.landandfarm.com/property/14658-s-486-west-avenue-drumright-ok-74030-36166051/,,,1.0,0.751,0.0,0.5,0.5
1694,0.4823,False,landandfarm,37723633,AR,Saint Francis,434.0,11750000.0,27073.73,"Forrest City, AR, 72336",https://www.landandfarm.com/property/chicot-county-280-37723633/,,,1.0,0.751,0.0,0.5,0.5
1695,0.4822,True,landwatch,425245416,ND,Pembina,316.0,1720000.0,5443.04,"Hamilton, ND, 58238, Pembina County",https://www.landwatch.com/pembina-county-north-dakota-farms-and-ranches-for-sale/pid/425245416,,,1.0,0.627,0.093,0.5,0.5
1696,0.482,True,landwatch,424353951,WI,Marathon,402.0,2375000.0,5907.96,"Athens, WI, 54411, Marathon County",https://www.landwatch.com/marathon-county-wisconsin-farms-and-ranches-for-sale/pid/424353951,,,1.0,0.683,0.05,0.5,0.5
1697,0.482,True,landwatch,425597622,KY,Muhlenberg,402.0,2406000.0,5985.07,"Greenville, KY, 42345, Muhlenberg County",https://www.landwatch.com/muhlenberg-county-kentucky-timberland-property-for-sale/pid/425597622,,,1.0,0.683,0.05,0.5,0.5
1698,0.482,True,landwatch,426279328,MN,Pine,203.0,1100000.0,5418.72,"Hinckley, MN, 55037, Pine County",https://www.landwatch.com/pine-county-minnesota-recreational-property-for-sale/pid/426279328,,,1.0,0.62,0.097,0.5,0.5
1699,0.4819,True,landsearch,5183989,NC,Northampton,344.0,1769866.0,5144.96,"Conway, NC 27820",https://www.landsearch.com/properties/1428-deberrys-mill-rd-conway-nc-27820/5183989,,,1.0,0.559,0.143,0.5,0.5
