rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
788,0.5918,True,landwatch,420865155,IL,Pulaski,460.0,1817000.0,3950.0,"Karnak, IL, 62956, Pulaski County",https://www.landwatch.com/pulaski-county-illinois-recreational-property-for-sale/pid/420865155,,,1.0,0.806,0.342,0.5,0.5
789,0.5917,True,landwatch,423545643,OK,Osage,345.0,983250.0,2850.0,"Pawhuska, OK, 74056, Osage County",https://www.landwatch.com/osage-county-oklahoma-farms-and-ranches-for-sale/pid/423545643,,,1.0,0.561,0.525,0.5,0.5
790,0.5917,True,landwatch,424300473,MS,Monroe,390.0,1280000.0,3282.05,"Aberdeen, MS, 39730, Monroe County",https://www.landwatch.com/monroe-county-mississippi-recreational-property-for-sale/pid/424300473,,,1.0,0.657,0.453,0.5,0.5
791,0.5916,True,landwatch,426260071,MO,Pulaski,224.0,839400.0,3747.32,"Dixon, MO, 65459, Pulaski County",https://www.landwatch.com/pulaski-county-missouri-farms-and-ranches-for-sale/pid/426260071,,,1.0,0.76,0.375,0.5,0.5
792,0.5915,True,landandfarm,38596559,AL,Lowndes,864.0,2505600.0,2900.0,"Gordonville, AL, 36040",https://www.landandfarm.com/property/864-acres-lowndes-county-fostoria-tract-38596559/,,,1.0,0.571,0.517,0.5,0.5
793,0.5913,True,landwatch,426090752,AL,Barbour,210.0,700000.0,3333.33,"Midway, AL, 36053, Barbour County",https://www.landwatch.com/barbour-county-alabama-recreational-property-for-sale/pid/426090752,,,1.0,0.667,0.444,0.5,0.5
794,0.591,True,landwatch,426219831,SD,Mccook,229.0,895000.0,3908.3,"Emery, SD, 57332, McCook County",https://www.landwatch.com/mccook-county-south-dakota-recreational-property-for-sale/pid/426219831,,,1.0,0.793,0.349,0.5,0.5
795,0.5908,True,landwatch,425485157,KY,Estill,263.0,1250000.0,4752.85,"Irvine, KY, 40336, Estill County",https://www.landwatch.com/estill-county-kentucky-farms-and-ranches-for-sale/pid/425485157,,,1.0,0.98,0.208,0.5,0.5
796,0.5907,True,landandfarm,36880415,AL,Lowndes,885.0,2649000.0,2993.22,"Letohatchee, AL, 36047",https://www.landandfarm.com/property/885-acres-in-lowndes-county-36880415/,,,1.0,0.589,0.501,0.5,0.5
797,0.5907,True,landsearch,3356937,AL,Colbert,622.0,1750000.0,2813.5,"Tuscumbia, AL 35674",https://www.landsearch.com/properties/underwood-mountain-rd-tuscumbia-al-35674/3356937,,,1.0,0.548,0.531,0.5,0.5
798,0.5907,True,landwatch,423852570,TN,Hardeman,330.0,900000.0,2727.27,"Hornsby, TN, 38044, Hardeman County",https://www.landwatch.com/hardeman-county-tennessee-recreational-property-for-sale/pid/423852570,,,1.0,0.529,0.545,0.5,0.5
799,0.5906,True,landwatch,426374866,SD,Gregory,305.0,1066835.0,3497.82,"Burke, SD, 57523, Gregory County",https://www.landwatch.com/gregory-county-south-dakota-farms-and-ranches-for-sale/pid/426374866,,,1.0,0.7,0.417,0.5,0.5
800,0.5902,True,landwatch,423300009,OK,Pittsburg,720.0,1728000.0,2400.0,"Mcalester, OK, 74501, Pittsburg County",https://www.landwatch.com/pittsburg-county-oklahoma-undeveloped-land-for-sale/pid/423300009,,,1.0,0.454,0.6,0.5,0.5
801,0.5901,True,landwatch,426665304,KY,Jackson,456.0,1800000.0,3947.37,"McKee, KY, 40447, Jackson County",https://www.landwatch.com/jackson-county-kentucky-recreational-property-for-sale/pid/426665304,,,1.0,0.798,0.342,0.5,0.5
802,0.5899,True,landsearch,5087339,AR,Independence,204.0,649000.0,3181.37,"Cushman, AR 72526",https://www.landsearch.com/properties/collietown-rd-cushman-ar-72526/5087339,,,1.0,0.627,0.47,0.5,0.5
803,0.5898,True,landwatch,422222608,MN,Roseau,317.0,1000000.0,3154.57,"Badger, MN, 56714, Roseau County",https://www.landwatch.com/roseau-county-minnesota-farms-and-ranches-for-sale/pid/422222608,,,1.0,0.62,0.474,0.5,0.5
804,0.5897,True,landwatch,426354910,KS,Edwards,341.0,972990.0,2853.34,"Offerle, KS, 67563, Edwards County",https://www.landwatch.com/edwards-county-kansas-farms-and-ranches-for-sale/pid/426354910,,,1.0,0.553,0.524,0.5,0.5
805,0.5896,True,landwatch,426051623,TN,Grundy,574.0,1891659.0,3295.57,"Palmer, TN, 37365, Grundy County",https://www.landwatch.com/grundy-county-tennessee-farms-and-ranches-for-sale/pid/426051623,,,1.0,0.651,0.451,0.5,0.5
806,0.5895,True,landwatch,334274646,MN,Nicollet,337.0,950000.0,2818.99,"Nicollet, MN, 56074, Nicollet County",https://www.landwatch.com/nicollet-county-minnesota-undeveloped-land-for-sale/pid/334274646,,,1.0,0.544,0.53,0.5,0.5
807,0.5894,True,landwatch,425666609,TN,Decatur,208.0,689000.0,3312.5,"Decaturville, TN, 38329, Decatur County",https://www.landwatch.com/decatur-county-tennessee-farms-and-ranches-for-sale/pid/425666609,,,1.0,0.653,0.448,0.5,0.5
808,0.5894,True,landwatch,425510618,NE,Franklin,635.0,1725000.0,2716.54,"Bloomington, NE, 68929, Franklin County",https://www.landwatch.com/franklin-county-nebraska-farms-and-ranches-for-sale/pid/425510618,,,1.0,0.521,0.547,0.5,0.5
809,0.5893,True,landsearch,4996096,OK,Latimer,345.0,1000500.0,2900.0,"Red Oak, OK 74563",https://www.landsearch.com/properties/black-loops-rd-red-oak-ok-74563/4996096,,,1.0,0.561,0.517,0.5,0.5
810,0.5893,True,landsearch,4881783,ND,Adams,712.0,1701920.0,2390.34,"Reeder, ND 58649",https://www.landsearch.com/properties/reeder-nd-58649/4881783,,,1.0,0.448,0.602,0.5,0.5
811,0.5891,True,landwatch,426594380,OK,Grady,320.0,985430.0,3079.47,"Rush Springs, OK, 73082, Grady County",https://www.landwatch.com/grady-county-oklahoma-farms-and-ranches-for-sale/pid/426594380,,,1.0,0.6,0.487,0.5,0.5
812,0.589,True,landwatch,425825131,VA,Buckingham,430.0,1600000.0,3720.93,"Cumberland, VA, 23040, Buckingham County",https://www.landwatch.com/buckingham-county-virginia-recreational-property-for-sale/pid/425825131,,,1.0,0.742,0.38,0.5,0.5
813,0.5889,True,landwatch,333214223,NC,Edgecombe,354.0,1060000.0,2994.35,"Tarboro, NC, 27886, Edgecombe County",https://www.landwatch.com/edgecombe-county-north-carolina-timberland-property-for-sale/pid/333214223,,,1.0,0.58,0.501,0.5,0.5
814,0.5888,True,landwatch,425818917,AL,Bibb,730.0,1800000.0,2465.75,"Eoline, AL, 35042, Bibb County",https://www.landwatch.com/bibb-county-alabama-farms-and-ranches-for-sale/pid/425818917,,,1.0,0.462,0.589,0.5,0.5
815,0.5888,True,landwatch,425510631,OK,Creek,855.0,2500000.0,2923.98,"Oilton, OK, 74030, Creek County",https://www.landwatch.com/creek-county-oklahoma-farms-and-ranches-for-sale/pid/425510631,,,1.0,0.564,0.513,0.5,0.5
816,0.5887,True,landwatch,414920411,MI,Marquette,523.0,1990000.0,3804.97,"Marquette, MI, 49855, Marquette County",https://www.landwatch.com/marquette-county-michigan-homes-for-sale/pid/414920411,,,1.0,0.759,0.366,0.5,0.5
817,0.5887,True,landwatch,426018485,NC,Anson,239.0,1017580.0,4257.66,"Morven, NC, 28119, Anson County",https://www.landwatch.com/anson-county-north-carolina-recreational-property-for-sale/pid/426018485,,,1.0,0.86,0.29,0.5,0.5
818,0.5884,True,landwatch,421766846,NE,Dawes,699.0,1650000.0,2360.52,"Chadron, NE, 69337, Dawes County",https://www.landwatch.com/dawes-county-nebraska-farms-and-ranches-for-sale/pid/421766846,,,1.0,0.437,0.607,0.5,0.5
